,Ana,Eth,Glu,Nit
MRH4,1,1,1,0
SDS23,3,3,3,2
HEM2,0,0,1,0
MIG1,0,0,1,0
PDR1,1,1,1,0
PMA1,0,1,1,0
ERG26,1,0,1,0
YGR035C,1,1,1,1
ACB1,0,0,1,0
YGR067C,0,1,2,0
PIL1,0,0,2,0
MEP1,0,0,1,0
ECL1,0,0,1,0
GTO1,0,0,1,0
RTS3,0,1,1,0
CBP4,0,0,1,0
ERG1,1,1,2,1
ATF2,1,0,1,0
QCR9,1,1,1,1
PCT1,0,0,1,0
PEX21,0,0,1,0
YAP1802,0,1,1,0
PUP2,0,1,0,0
MES1,1,1,1,0
SCW4,0,1,0,0
PXR1,1,0,1,0
IMA1,0,0,1,0
RIM4,1,1,1,1
OSH7,1,1,1,1
QCR10,0,0,1,0
LEU5,0,0,1,0
RPL27A,0,1,0,0
MYO1,0,0,1,0
YHR033W,1,2,1,0
NCP1,1,1,1,0
COX6,1,1,1,1
PCL5,1,1,1,0
PEX28,0,0,1,0
ROF1,0,0,1,0
PTH1,1,2,2,0
ERG9,1,2,2,0
YHR202W,1,0,1,0
ERG11,1,1,2,1
SOD2,0,1,1,0
TDA3,0,1,0,0
HXT4,0,1,1,0
HXT5,0,1,1,0
SKG6,0,0,1,0
GPI16,1,2,2,0
SUC2,1,1,1,0
RHO3,1,1,1,0
VHR1,3,3,3,0
RPL2B,0,1,0,0
GUT2,1,1,1,1
RPL16A,0,0,1,0
CSM2,0,0,1,0
RPI1,1,1,1,0
XBP1,0,1,1,0
RGI2,3,3,3,0
